,0
0,788
1,99
2,80
3,69
4,149
5,662
6,118
7,75
8,689
9,230
10,88
11,653
12,249
13,116
14,405
15,70
16,368
17,716
18,248
19,292
20,660
21,301
22,678
23,60
24,107
25,805
26,148
27,525
28,315
29,135
30,788
31,555
32,412
33,106
34,181
35,672
36,78
37,312
38,581
39,170
40,283
41,171
42,351
43,967
44,286
45,268
46,232
47,119
48,88
49,106
50,414
51,149
52,61
53,264
54,557
55,371
56,333
57,648
58,92
59,518
60,354
61,424
62,365
63,145
64,284
65,106
66,92
67,506
68,532
69,211
70,115
71,753
72,71
73,126
74,441
75,53
76,46
77,123
78,224
79,306
80,495
81,557
82,346
83,180
84,241
85,515
86,218
87,23
88,632
89,618
90,280
91,557
92,109
93,286
94,914
95,409
96,544
97,933
98,295
99,370
100,125
101,84
102,117
103,186
104,753
105,501
106,356
107,987
108,463
109,460
110,251
111,149
112,592
113,686
114,246
115,187
116,18
117,33
118,627
119,86
120,402
121,517
122,278
123,609
124,266
125,125
126,144
127,106
128,266
129,868
130,457
131,337
132,45
133,79
134,988
135,437
136,43
137,507
138,549
139,312
